,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,broken hill,0.0,AU,1552532400.0,21.0,-31.97,141.45,299.15,2.6
2,jieshi,20.0,CN,1552534376.0,86.0,22.82,115.83,294.305,7.06
4,port alfred,56.0,ZA,1552534042.0,90.0,-33.59,26.89,290.93,3.46
5,mataura,88.0,NZ,1552534207.0,67.0,-46.19,168.86,287.59,2.24
7,tucurui,68.0,BR,1552534220.0,96.0,-3.77,-49.67,297.13,0.71
8,mahebourg,20.0,MU,1552534145.0,83.0,-20.41,57.7,299.26,1.0
9,quatre cocos,20.0,MU,1552534145.0,83.0,-20.21,57.76,299.26,1.0
10,longyearbyen,20.0,NO,1552531800.0,77.0,78.22,15.63,255.15,0.5
11,kaitangata,88.0,NZ,1552534305.0,69.0,-46.28,169.85,286.48,4.92
12,sistranda,75.0,NO,1552534176.0,99.0,63.73,8.83,275.37,5.7
13,busselton,0.0,AU,1552534207.0,37.0,-33.64,115.35,298.71,5.06
14,riyadh,75.0,SA,1552532400.0,14.0,24.63,46.72,292.15,6.7
16,new norfolk,0.0,AU,1552534336.0,28.0,-42.78,147.06,294.26,4.1
17,aklavik,75.0,CA,1552532400.0,70.0,68.22,-135.01,252.15,4.6
18,rikitea,100.0,PF,1552534379.0,100.0,-23.12,-134.97,296.755,11.86
19,vostok,68.0,RU,1552534220.0,66.0,46.45,135.83,271.23,1.41
20,butaritari,92.0,KI,1552534379.0,100.0,3.07,172.79,298.23,5.91
21,klaksvik,68.0,FO,1552533600.0,93.0,62.23,-6.59,276.15,6.2
22,ushuaia,0.0,AR,1552532400.0,57.0,-54.81,-68.31,283.15,1.76
23,mangai,48.0,CD,1552534380.0,92.0,-4.07,19.59,297.03,0.96
24,albany,90.0,US,1552534200.0,48.0,42.65,-73.75,278.15,2.6
25,hilo,75.0,US,1552534258.0,73.0,19.71,-155.08,296.15,3.1
26,puerto madryn,56.0,AR,1552534228.0,77.0,-42.77,-65.04,290.955,12.01
27,mount pleasant,90.0,US,1552534279.0,88.0,33.16,-94.97,292.15,5.7
